2025/04/21 03:08:38 [info] 28#28: *164 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *166 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *168 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *170 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *172 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *174 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *176 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *178 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *180 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *182 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *184 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *186 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *188 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
